step,Blue,Pink,Red,Orange,MeanIncome,MoransI_Orange,MoransI_Red,MoransI_Red_within_high,MoransI_Red_within_median,MoransI_Red_within_low,gamma,seed
12,147,852,801,0,900775.521540765,0.0,0.15779308005234843,0.0031904287138585794,0.010100048664091053,0.0044531202217407756,0.0,1
13,182,826,792,0,954882.9353736789,0.0,0.1483578791271321,0.0031904287138585794,-0.0015172606561093909,0.0052940301372967945,0.0,1
14,225,798,777,0,1013413.842055512,0.0,0.141549770079095,0.00811225837843804,-0.006483060309295191,0.007772078647484484,0.0,1
15,262,767,771,0,1079335.6276707477,0.0,0.14318654288963767,0.016057091882247437,-0.0007562087994199207,-0.0009958740159438527,0.0,1
16,280,765,755,0,1146905.6556059804,0.0,0.13875763284564485,0.016057091882247437,0.0031242130010974093,-0.014837302775044964,0.0,1
17,319,747,734,0,1222848.2639925538,0.0,0.1294556630413384,0.016057091882247437,-0.004214943541679866,-0.019152899395494312,0.0,1
18,367,720,713,0,1304344.5075393692,0.0,0.1254107802703359,0.004671117841809423,-0.0028208408670500583,-0.016400806284074143,0.0,1
19,413,702,685,0,1392039.6625853067,0.0,0.12360618309057347,0.004671117841809423,0.00428423667441926,-0.014409921109618707,0.0,1
20,469,673,658,0,1484702.0807681237,0.0,0.11558927028959357,-0.0075877020102484965,0.00509973927320243,-0.023335792162374455,0.0,1
21,506,653,641,0,1589339.0731977052,0.0,0.10973611236140264,-0.0075877020102484965,0.004779666094414357,-0.022992116876949215,0.0,1
22,546,630,624,0,1709355.5370020734,0.0,0.10330087084100746,-0.0075877020102484965,0.001953519164428821,-0.022764123769921624,0.0,1
23,582,617,601,0,1841818.1421429636,0.0,0.09593415762737302,-0.017103108510965897,-0.0027242952601073244,-0.015461627977006686,0.0,1
24,603,610,587,0,1991066.3593185993,0.0,0.09395789884205012,-0.012042126778608692,-0.005634865895396405,-0.014121274816348993,0.0,1
25,627,602,571,0,2148155.0600171154,0.0,0.09739642846944714,-0.03302162478082944,0.005848544825239389,-0.016146600526946144,0.0,1
26,664,583,553,0,2332539.6268390133,0.0,0.09335906954180873,-0.028798989849936237,0.004744413983466444,-0.020405474309377544,0.0,1
27,698,564,538,0,2540249.298917523,0.0,0.09646849301895397,-0.02547215496368151,0.00827057183191367,-0.009133800013789814,0.0,1
28,717,559,524,0,2762146.9068445037,0.0,0.09615708659989051,-0.02547215496368151,0.00799875844498378,0.0010853558681615167,0.0,1
29,750,552,498,0,2990608.3052578005,0.0,0.09351586525789445,-0.02547215496368151,0.017967327081608222,-0.004680241422670747,0.0,1
30,777,538,485,0,3270839.664006795,0.0,0.09578190755838865,-0.02547215496368151,0.01827905193056004,-0.0011696022735748438,0.0,1
31,790,532,478,0,3567294.2945323074,0.0,0.09727380104600954,-0.02547215496368151,0.02583210462720957,-0.0047578513597561255,0.0,1
32,812,520,468,0,3899698.453132628,0.0,0.0933130475750062,-0.02547215496368151,0.027965622775068495,-0.008850066200768126,0.0,1
33,836,503,461,0,4260655.387358103,0.0,0.09241613555772218,-0.021295089091698017,0.02375423622442531,-0.00585526039209444,0.0,1
34,851,505,444,0,4612894.370742138,0.0,0.09023392282828073,-0.021295089091698017,0.017989057065827253,0.007855930807578477,0.0,1
35,870,494,436,0,5017181.08217181,0.0,0.0907503508864801,-0.021295089091698017,0.013652504315262956,0.014141566684625665,0.0,1
36,895,483,422,0,5415541.300489863,0.0,0.0844681812925484,-0.021295089091698017,0.022541698050528653,0.003243560219658,0.0,1
37,918,473,409,0,5919847.816346846,0.0,0.07864533672344945,-0.021295089091698017,0.02310609200311752,0.0004049625781950461,0.0,1
38,924,481,395,0,6489876.835748498,0.0,0.07504637244368413,-0.021295089091698017,0.022307078811900836,-0.0008435144621914577,0.0,1
0,1800,0,0,0,190000.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1,227,1573,0,0,257540.57620928827,0.0,0.0,0.0,0.0,0.0,0.0,2
2,181,1463,156,0,326174.69792226586,0.0,0.008653917771487342,-0.009680729678719295,-0.01771961845293933,-0.003413107164746894,0.0,2
3,160,1360,280,0,382031.0070244556,0.0,0.0020906858984155946,-0.016852438322793963,-0.022456776117728817,-0.033181611349469266,0.0,2
4,134,1275,391,0,444896.42095302476,0.0,0.026024764057495174,0.00684481651223203,-0.02180065544397412,-0.0032118069942187904,0.0,2
5,115,1199,486,0,501960.4470799346,0.0,0.06296561623127071,0.021595497060254713,-0.0028669222455641836,0.02003188066456082,0.0,2
6,91,1147,562,0,558892.1076413322,0.0,0.09396390621224253,0.01453046171651436,0.022279812975647687,0.015232355156450954,0.0,2
7,98,1097,605,0,607367.2386543418,0.0,0.09160522070438445,0.01453046171651436,0.012320096635911361,-0.011760295667211332,0.0,2
8,107,1034,659,0,660399.9844149824,0.0,0.09409699904987842,0.01453046171651436,-0.008428340641587904,-0.0061176799273042525,0.0,2
9,129,972,699,0,712145.3899069057,0.0,0.10705301609361575,0.01453046171651436,-0.007997099924799224,-0.003207684286253079,0.0,2
10,133,938,729,0,769660.5920167946,0.0,0.11363328400141295,0.02159549706025466,-0.012356979962834382,0.0032983032934025356,0.0,2
11,150,895,755,0,833296.3570525083,0.0,0.11767516268526122,0.02159549706025466,-0.02189652476904051,0.0008203702531182389,0.0,2
12,158,871,771,0,902796.3426010506,0.0,0.11357723030445528,0.013623589895288753,-0.044747491862025784,-0.0026476251376969804,0.0,2
13,203,843,754,0,957889.0208641962,0.0,0.10403106016236961,0.005802316976198991,-0.044979168438057444,-0.01987862624962877,0.0,2
14,226,826,748,0,1022326.5596087304,0.0,0.10803351758946429,0.01362358989528886,-0.033578808203643104,-0.026674812270677643,0.0,2
15,260,807,733,0,1088481.961633151,0.0,0.10389158642568837,0.005475460893153361,-0.022938781423515683,-0.04224245042887694,0.0,2
16,265,801,734,0,1168720.7314312162,0.0,0.10102960097083875,0.021595497060254754,-0.02690880128830107,-0.031362414634449075,0.0,2
17,289,782,729,0,1250345.1710990954,0.0,0.10952118942813428,0.021595497060254754,-0.014304772304920464,-0.022257683804584212,0.0,2
18,345,751,704,0,1331307.0245414476,0.0,0.10262010437260871,0.021595497060254754,-0.013888841083450424,-0.016653890217737416,0.0,2
19,378,734,688,0,1427397.022783752,0.0,0.0931912840633821,0.021595497060254754,-0.025353016198434664,-0.015286931163538176,0.0,2
20,424,709,667,0,1532826.2178298016,0.0,0.08844906806102032,0.021595497060254754,-0.026952883324996287,-0.006058849708648648,0.0,2
21,458,688,654,0,1654734.748505646,0.0,0.08282968069785591,0.021595497060254754,-0.026501552843994455,-0.010579383422341474,0.0,2
22,511,653,636,0,1792005.382070753,0.0,0.07830977654631839,0.0300768357946627,-0.02026222847256694,-0.024551493542386955,0.0,2
23,538,645,617,0,1934711.2132055184,0.0,0.07349984191530516,0.03893102928617935,-0.02020818630815078,-0.0326291289301354,0.0,2
24,572,629,599,0,2092678.0072431783,0.0,0.07532082441772639,0.05532832936311807,-0.013467126175916472,-0.03234949037613859,0.0,2
25,614,605,581,0,2282039.7997285556,0.0,0.07341361670228513,0.05532832936311807,-0.014259109675102808,-0.022987393087351822,0.0,2
26,659,581,560,0,2488140.7530870857,0.0,0.0663919225524223,0.06216355030483814,-0.010334250248851616,-0.031131736522339176,0.0,2
27,685,564,551,0,2703285.3567525186,0.0,0.06792427719725652,0.06216355030483814,-0.005787961765344964,-0.027304040774671114,0.0,2
28,711,553,536,0,2932979.951242373,0.0,0.06577765215993807,0.06216355030483814,-0.003309199340351665,-0.02429800193180043,0.0,2
29,733,543,524,0,3187276.7228379324,0.0,0.06629321516107768,0.05321430699263085,-0.005633811367862433,-0.012665871174932519,0.0,2
30,752,537,511,0,3459947.333157756,0.0,0.06407375324597785,0.041696060594810104,-0.01078595855255332,-0.008582772155034812,0.0,2
31,781,526,493,0,3766137.7238020096,0.0,0.0657849597375235,0.05188631679008678,-0.00730867962261627,-0.005887043283594618,0.0,2
32,802,511,487,0,4092172.1797066634,0.0,0.06603641099091129,0.05188631679008678,-0.009973546919499785,0.0002514087576914319,0.0,2
33,817,507,476,0,4451847.860468244,0.0,0.06793661573392164,0.05188631679008678,-0.0021506118769321907,-0.0002661221439054964,0.0,2
34,836,504,460,0,4913486.2374266265,0.0,0.06148977274232336,0.05188631679008678,0.0015505691606636095,-0.01154914048853545,0.0,2
35,851,504,445,0,5355371.221439149,0.0,0.062467899386629076,0.05188631679008678,0.004073656215805109,-0.00017561000463328674,0.0,2
36,877,495,428,0,5867202.911334687,0.0,0.05997027516627061,0.03753212803090207,-0.0003996789134108542,0.002113877594632219,0.0,2
37,892,496,412,0,6367053.598038643,0.0,0.061115883533403005,0.04596719573603532,-0.0005385029617662897,0.012116326177898212,0.0,2
38,901,499,400,0,7037032.612127983,0.0,0.05899234693877261,0.04596719573603532,0.004329828072979721,0.0069898235494700285,0.0,2
0,1800,0,0,0,190000.0,0.0,0.0,0.0,0.0,0.0,0.0,3
1,247,1553,0,0,254657.66136353847,0.0,0.0,0.0,0.0,0.0,0.0,3
2,184,1487,129,0,311008.2368293389,0.0,-0.001390198769056885,-0.01163118965614619,-0.00724608670286297,-0.030149346672497565,0.0,3
3,159,1386,255,0,367088.3280168139,0.0,0.007260376162362906,-0.012942499450182306,-0.002070060089593164,-0.032083186108726056,0.0,3
4,140,1291,369,0,428429.08732157224,0.0,0.02351780943105226,-0.03794550095335501,0.010665764587489943,-0.028414060669045508,0.0,3
5,118,1226,456,0,487136.23540903983,0.0,0.04730276648557457,-0.04024627642717937,0.03230126716621678,-0.02973000827440152,0.0,3
6,89,1183,528,0,546411.1483664727,0.0,0.06360845978973476,-0.03151731116858129,0.031036982095198076,-0.017558787686496023,0.0,3
7,87,1123,590,0,599359.050748925,0.0,0.07804089806579632,-0.026363046463547268,0.03310702768648106,-0.03053858967240421,0.0,3
8,104,1046,650,0,649291.5382625127,0.0,0.09317501720245797,-0.020204662187028728,0.008885999133073879,0.00033358718147377334,0.0,3
9,126,985,689,0,701137.4202236085,0.0,0.09962182668357648,-0.025457618422440827,0.002598653869416336,-0.0038759350717369047,0.0,3
10,133,938,729,0,766127.8913786362,0.0,0.10822378452237641,-0.030609155934580065,-0.008096016135275075,0.0018949974144005512,0.0,3
11,143,901,756,0,825861.0760818194,0.0,0.12042122023973144,-0.025457618422440827,-0.00770577120047826,0.0004734011744822522,0.0,3
12,162,866,772,0,892708.6218342726,0.0,0.12654436952330858,-0.019301945008320342,-0.02176039808846625,0.011894628021773244,0.0,3
13,212,839,749,0,947169.1870719461,0.0,0.11731528328186933,-0.02959573989349641,-0.029778007783240183,0.010582672935287798,0.0,3
14,245,819,736,0,1009779.5692911282,0.0,0.10873025866102434,-0.02959573989349641,-0.027348538133894214,0.0025386600960222564,0.0,3
15,285,790,725,0,1070882.1825013482,0.0,0.1039209893217197,-0.02368987796123636,-0.03729475433790067,0.013810835765894834,0.0,3
16,322,773,705,0,1137988.0535941774,0.0,0.10111159300440531,-0.017679028609699072,-0.03133487250095964,0.0042558731739073714,0.0,3
17,323,785,692,0,1211681.3785543537,0.0,0.10071560160468174,-0.013329152486477489,-0.027631861517284317,0.016085705569809584,0.0,3
18,362,765,673,0,1285531.5352965677,0.0,0.09272634552822324,-0.013329152486477489,-0.03699860386534775,0.024103437865185328,0.0,3
19,395,753,652,0,1374339.9669538443,0.0,0.09702861618561087,-0.013329152486477489,-0.02361325429755417,0.022646148964860623,0.0,3
20,449,723,628,0,1468352.1981718724,0.0,0.09630235831156374,-0.007045340482437435,-0.014490855945893758,0.025873990015482864,0.0,3
21,504,691,605,0,1570152.470404565,0.0,0.08502233014797583,-0.007045340482437435,-0.010727808506485465,0.01645170309396608,0.0,3
22,542,664,594,0,1700817.4362331168,0.0,0.08192544599029172,-0.007045340482437435,-0.007994274495281657,0.014372210259678542,0.0,3
23,577,653,570,0,1826331.3536028836,0.0,0.07739649040912065,0.0034118733814153326,-0.014551907146894052,0.02022440057519414,0.0,3
24,611,628,561,0,1967657.3185980213,0.0,0.06991025927991076,0.0034118733814153326,-0.023236439205932595,0.019905657659876962,0.0,3
25,637,620,543,0,2133688.5851477035,0.0,0.06209509177432242,0.0034118733814153326,-0.016919361522742028,0.0006771014228842096,0.0,3
26,665,603,532,0,2309593.370500539,0.0,0.057845132051864874,-0.00814309930720375,-0.02221763074188566,-0.0021792503896424557,0.0,3
27,688,593,519,0,2527769.514680873,0.0,0.049934519888201745,-0.00814309930720375,-0.026227617977934336,-0.013908253241335874,0.0,3
28,711,589,500,0,2758932.728889214,0.0,0.04603606919397034,-0.00814309930720375,-0.01740592546260413,-0.026911036873202433,0.0,3
29,746,573,481,0,2992775.861715381,0.0,0.03850358668601485,-0.00814309930720375,-0.0265014286894756,-0.022406018792484585,0.0,3
30,754,575,471,0,3259689.3114616117,0.0,0.04034222520543255,-0.0025709945074205995,-0.024035700258885337,-0.020854179963526426,0.0,3
31,789,552,459,0,3555983.5025926162,0.0,0.042389317993454564,-0.0025709945074205995,-0.02173140616552196,-0.009753106766493833,0.0,3
32,803,548,449,0,3862579.2754357257,0.0,0.04099244488791786,-0.0025709945074205995,-0.023011619851964447,-0.00826133774343721,0.0,3
33,823,542,435,0,4199429.653881232,0.0,0.03406575275902329,-0.0025709945074205995,-0.02518755626687925,-0.017118877170822593,0.0,3
34,854,521,425,0,4603375.875583352,0.0,0.03829491083080609,-0.0176971815599729,-0.016822887230023707,-0.013907148993136042,0.0,3
35,880,508,412,0,5062316.590545632,0.0,0.03700212145620471,-0.0176971815599729,-0.015876568550803726,-0.009523671253139281,0.0,3
36,903,494,403,0,5510782.794618427,0.0,0.03433031840132911,-0.0176971815599729,-0.01245454752584101,-0.018482195350340378,0.0,3
37,918,485,397,0,6131690.06827409,0.0,0.032830205850003076,-0.015556726655573732,-0.009872332238282778,-0.022522067463661154,0.0,3
38,934,483,383,0,6678209.628200088,0.0,0.028674588047897447,-0.015556726655573732,-0.0061091105075775694,-0.03422884722162796,0.0,3
0,1800,0,0,0,190000.0,0.0,0.0,0.0,0.0,0.0,0.0,4
1,251,1549,0,0,256130.91538773247,0.0,0.0,0.0,0.0,0.0,0.0,4
2,172,1481,147,0,321512.32725483296,0.0,0.02454492830651433,0.0947392655692423,-0.010517374539836484,0.023730230226412963,0.0,4
3,154,1387,259,0,375285.0164265836,0.0,0.019191523407696514,0.0012720156555766572,-0.0014173457687816533,-0.015780730897010844,0.0,4
4,146,1314,340,0,432863.4557468999,0.0,0.026152609630413225,-0.025312686122690876,-0.0006576334598048714,-0.013476600817952565,0.0,4
5,118,1251,431,0,492130.7244593738,0.0,0.048135851597870115,0.018936341659951186,0.014665360859338264,-0.023142555119297567,0.0,4
6,97,1196,507,0,548553.1002159305,0.0,0.07143443737131322,0.010334759084672294,0.0068529857809095495,0.0020429931903271133,0.0,4
7,100,1144,556,0,599225.1498476949,0.0,0.08454071316217572,0.010334759084672294,0.004864651406264609,0.001301324384361959,0.0,4
8,119,1057,624,0,657682.9589570734,0.0,0.1039904633718716,0.010334759084672294,0.002004914753609748,0.007349593519652682,0.0,4
9,133,1001,666,0,712716.8202367211,0.0,0.12461358064172852,0.010334759084672294,-0.0014764070158863698,0.02642617031812475,0.0,4
10,146,952,702,0,770366.3394258821,0.0,0.11648091249340611,0.010334759084672294,-0.023514707423866476,0.008887043189369042,0.0,4
11,147,920,733,0,834445.8948758313,0.0,0.1244857692561476,0.018385003604901803,-0.022887552269983586,-0.001254253702233979,0.0,4
12,155,890,755,0,905744.7844799199,0.0,0.1382818864870517,0.018385003604901803,-0.023056808867805128,0.012366186784791301,0.0,4
13,185,874,741,0,969943.3839570659,0.0,0.1431559832489882,0.018385003604901803,-0.011776299581176227,0.02668988803258165,0.0,4
14,208,858,734,0,1033248.4419987723,0.0,0.1404670276554951,0.018385003604901803,-0.011381529028381446,0.027247730869481426,0.0,4
15,237,840,723,0,1106896.6651743702,0.0,0.1448971505888018,0.02234044302652548,-0.0029484003032075796,0.02431839885940272,0.0,4
16,257,823,720,0,1182796.9933219384,0.0,0.14300181217356123,0.029487894233833013,-0.0015419766564988232,0.01346609944411543,0.0,4
17,265,822,713,0,1264504.1176734122,0.0,0.14559697505235375,0.029487894233833013,0.008751954786139547,0.02186758010445344,0.0,4
18,324,786,690,0,1350908.1289904441,0.0,0.13336066562525395,0.029487894233833013,0.0050062076975443655,0.010212598089075488,0.0,4
19,371,757,672,0,1443087.740685129,0.0,0.12582050830934194,0.015783204288267655,0.007494931655079255,0.001558800271468682,0.0,4
20,435,713,652,0,1543440.9142222523,0.0,0.12420182504071584,0.015783204288267655,0.01382113821138214,0.009152116838304317,0.0,4
21,465,695,640,0,1661431.8002594733,0.0,0.11530172413792006,0.015783204288267655,0.010377540986249672,0.002224485804986125,0.0,4
22,507,671,622,0,1782907.2507246581,0.0,0.11239339143793539,0.015783204288267655,0.00978646458790583,0.006435951060786687,0.0,4
23,558,638,604,0,1929911.9383969344,0.0,0.11437063632173321,0.015783204288267655,0.013140389777103075,0.023038435341434762,0.0,4
24,593,623,584,0,2100591.7762112822,0.0,0.10983909014885554,0.000757892831691572,0.02073170731707397,0.018343452858288055,0.0,4
25,613,617,570,0,2271293.364526729,0.0,0.1087127601621159,0.007605457587692674,0.027778841367691813,0.008647526807333274,0.0,4
26,636,607,557,0,2469695.389324422,0.0,0.10703810390900312,0.007605457587692674,0.031071804324689062,0.0041314889667512286,0.0,4
27,669,593,538,0,2686786.531383392,0.0,0.10229318323260618,-0.010687293339632418,0.027310786800369073,0.014220946540983449,0.0,4
28,708,573,519,0,2918595.074478062,0.0,0.0933228803336403,-0.010687293339632418,0.0241773380506586,0.007478047846630415,0.0,4
29,723,562,515,0,3189164.8031085385,0.0,0.09245182626017125,-0.010687293339632418,0.02266715705785449,0.008049924508247718,0.0,4
30,744,553,503,0,3461261.7463754145,0.0,0.08909606272854856,-0.006697663132878947,0.016154577130186983,0.013431522373891142,0.0,4
31,763,552,485,0,3789684.699780458,0.0,0.084647333291639,-0.0004892367906067536,0.014297729184188122,0.005460971504297648,0.0,4
32,787,537,476,0,4113066.6502817054,0.0,0.07582745204993133,-0.0004892367906067536,0.0077689652001662005,-0.0029231788745444232,0.0,4
33,798,535,467,0,4470452.366886123,0.0,0.07091753706195711,-0.0004892367906067536,0.007115280113587807,-0.008713950696557752,0.0,4
34,815,531,454,0,4814392.10242689,0.0,0.06723818297682424,0.00720056199508206,0.006103345097658384,-0.015323721566072571,0.0,4
35,831,527,442,0,5252091.573326186,0.0,0.05897969440196637,-0.023680728518059878,0.0006558513073717385,-0.021608415200306926,0.0,4
36,842,532,426,0,5772136.805708172,0.0,0.050893207300494576,-0.023680728518059878,-0.0026417292639614376,-0.024892734320144907,0.0,4
37,869,521,410,0,6308897.942829253,0.0,0.04316687048309754,-0.023680728518059878,-0.0044525262542857115,-0.03201023965988702,0.0,4
38,890,516,394,0,6808741.676393442,0.0,0.0386762585237961,-0.021207652605843248,-0.0018658639671768709,-0.04038768754577223,0.0,4
0,1800,0,0,0,190000.0,0.0,0.0,0.0,0.0,0.0,0.3,0
1,253,1547,0,0,254159.67312504858,0.0,0.0,0.0,0.0,0.0,0.3,0
2,191,1463,146,0,316252.49141885055,0.0,0.015262173841560141,-0.027354732895971408,-0.004004417483940206,0.020237346039736433,0.3,0
3,161,1346,293,0,376197.0007631896,0.0,0.02504136491171921,0.006503236633900516,0.013232206507718924,-0.024105726077408185,0.3,0
4,133,1262,405,0,437345.6311451447,0.0,0.029645090110871863,-0.04068247928102455,0.011300215430270965,-0.026793580868470165,0.3,0
5,109,1192,499,0,495772.78912775824,0.0,0.04477035441297392,-0.02913222500851152,0.004106333356398142,-0.009752742000966649,0.3,0
6,102,1138,560,0,550429.5126307418,0.0,0.04868969141250334,-0.025381724685668253,-0.008463343590738925,-0.01572400167423489,0.3,0
7,109,1071,620,0,600924.3015637365,0.0,0.06712044437455121,-0.011246485473289741,-0.0003524191441542177,-0.014081307605293915,0.3,0
8,122,1016,662,0,651385.3845243674,0.0,0.07929479486605363,-0.011246485473289741,-0.008612521838422496,0.001416979987879519,0.3,0
9,127,958,715,0,709470.8595124868,0.0,0.09731148354034125,-0.011246485473289741,-0.004327237685417425,0.009786816946550446,0.3,0
10,135,905,760,0,767635.96306626,0.0,0.11648883332864753,-0.011246485473289741,0.0003247807729782397,0.023103548433945645,0.3,0
11,150,872,778,0,830084.5295930895,0.0,0.11879364004111476,-0.008434864104967342,-0.0029161743984820903,0.0075019882971811705,0.3,0
12,160,854,786,0,896176.5195810703,0.0,0.12080134080345802,-0.012848202615607296,-0.011609239283646973,0.01976320431990898,0.3,0
13,185,827,788,0,959810.7245567456,0.0,0.11781779318968023,-0.012848202615607296,-0.023598448133161715,0.022321360047185185,0.3,0
14,235,789,776,0,1017822.7727735013,0.0,0.1147418661089913,-0.012848202615607296,-0.018130568890909048,0.023563724745555098,0.3,0
15,266,773,761,0,1084581.548791723,0.0,0.10740076135258338,-0.012848202615607296,-0.024371061693910963,0.0288450648947317,0.3,0
